transaction_id,client_id,amount,transaction_type,timestamp,client_country,counterparty_country,ofac_match_flag,fatf_country_flag,structuring_pattern_flag,rapid_movement_flag,trade_mispricing_flag
54,1478,974.79,ACH,2025-09-23 03:31:20,VE,AE,0,0,0,0,0
55,647,635.98,Wire,2025-09-03 11:50:33,RU,SG,0,0,0,0,0
56,703,15820.01,Wire,2025-09-12 17:51:32,SD,NL,0,0,0,0,0
57,1307,62.35,Wire,2025-08-09 13:09:24,IR,FR,0,0,0,0,0
58,638,1718.69,ACH,2025-09-03 14:47:05,LB,AU,0,0,0,0,0
59,1262,10544.14,Check,2025-07-16 01:58:43,IN,AU,0,0,0,0,0
60,996,618.89,SWIFT,2025-08-21 21:07:35,JP,CA,0,0,0,0,0
61,1023,253.79,Wire,2025-07-16 11:37:04,CA,FR,0,0,0,0,0
62,918,16.62,Check,2025-08-14 04:28:42,CH,DE,0,0,0,0,0
63,1120,91.23,Check,2025-08-04 15:38:03,SD,AE,0,0,0,0,0
64,1379,1353.85,ACH,2025-07-30 21:14:18,JP,US,0,0,0,0,0
65,849,1649.52,ACH,2025-07-05 22:32:28,KP,DE,0,0,0,0,0
66,569,142.66,Check,2025-08-07 23:15:54,SY,AF,0,0,0,0,0
67,1684,2716.24,Wire,2025-07-10 04:36:18,RU,US,0,0,0,0,0
68,1456,3387.2,Check,2025-08-07 21:22:03,CH,FR,0,0,0,0,0
69,866,4607.05,SWIFT,2025-09-12 21:02:48,KP,AU,0,0,0,0,0
70,1796,4302.58,Wire,2025-08-10 18:51:25,LB,CH,0,0,0,0,0
71,904,20223.46,Wire,2025-07-15 13:53:56,CN,AE,0,0,0,0,0
72,427,824.95,Wire,2025-07-30 13:41:00,CA,SG,0,0,0,0,0
73,1231,4003.09,Wire,2025-08-03 19:57:22,DE,SG,0,0,0,0,0
74,689,1733.1,Check,2025-09-15 12:57:11,VE,DE,0,0,0,0,0
75,398,1540.82,ACH,2025-07-27 06:11:19,LB,CN,0,0,0,0,0
76,1492,5470.56,Wire,2025-07-20 18:44:48,CN,CH,0,0,0,0,0
77,1562,1544.3,Wire,2025-07-04 04:19:27,IN,IN,0,0,0,0,0
78,1963,1348.1,SWIFT,2025-07-17 17:44:43,US,US,0,0,0,0,0
79,605,3708.18,ACH,2025-09-01 06:49:21,CA,CA,0,0,0,0,0
80,1181,594.42,ACH,2025-08-02 04:47:37,IR,CN,0,0,0,0,0
81,1978,102.07,Wire,2025-09-29 03:48:41,CN,AU,0,0,0,0,0
82,1738,595.57,ACH,2025-07-04 15:14:36,AE,SG,0,0,0,0,0
83,964,102.33,SWIFT,2025-08-05 04:07:20,KP,IN,0,0,0,0,0
84,698,10633.54,ACH,2025-08-13 20:07:39,SD,FR,0,0,0,0,0
85,1624,13.57,Wire,2025-07-28 06:01:01,CN,US,0,0,0,0,0
86,1629,25.08,ACH,2025-09-16 22:51:21,FR,FR,0,0,0,0,0
87,259,5994.75,ACH,2025-07-20 00:23:59,CN,FR,0,0,0,0,0
88,695,106.25,Wire,2025-07-04 01:04:46,LB,NL,0,0,0,0,0
89,805,156.84,ACH,2025-09-26 13:50:02,VE,NL,0,0,0,0,0
90,1134,2193.91,SWIFT,2025-07-15 01:28:39,CN,IN,0,0,0,0,0
91,346,4636.99,ACH,2025-07-06 11:35:23,AE,AU,0,0,0,0,0
92,125,6390.52,Check,2025-07-16 08:13:36,AF,FR,0,0,0,0,0
93,974,2778.22,SWIFT,2025-08-19 03:46:26,DE,AE,0,0,0,1,0
94,1939,7611.87,SWIFT,2025-08-19 13:01:36,SG,NL,0,0,0,0,0
95,615,470.97,SWIFT,2025-08-30 17:04:48,AE,CA,0,0,0,0,0
96,296,46280.77,Wire,2025-08-16 04:59:06,US,CA,0,0,0,0,0
97,1137,125967.5,SWIFT,2025-07-27 23:31:31,DE,SG,0,0,0,0,0
98,1574,2231.25,Check,2025-08-15 21:14:25,AU,CN,0,0,0,0,0
99,1849,1305.28,ACH,2025-08-07 10:59:08,KP,VE,1,0,0,0,0
100,710,39748.06,ACH,2025-08-24 02:44:14,AF,IN,0,0,0,0,0
101,1161,843.45,Check,2025-07-08 23:45:33,IR,NL,0,0,0,0,0
102,1987,2279.27,Check,2025-08-07 14:14:15,KP,SD,1,0,0,0,0
103,220,3065.46,Check,2025-07-31 15:10:21,SG,AU,0,0,0,0,0
104,1301,5841.38,Check,2025-09-09 03:13:49,SY,AU,0,0,0,0,0
105,325,234.65,Check,2025-08-23 17:32:51,AE,AE,0,0,0,0,0
106,92,627.42,Wire,2025-09-23 03:03:26,JP,NL,0,0,0,0,0
107,751,5273.67,Check,2025-09-04 07:11:27,RU,KP,1,1,0,0,0
108,1761,3899.54,Check,2025-08-24 04:15:29,DE,UK,0,0,0,0,0
109,831,5250.44,Check,2025-08-11 23:50:53,CA,AU,0,0,0,1,0
110,490,2075.71,SWIFT,2025-08-20 09:38:22,LB,US,0,0,0,0,0
111,1479,3266.19,ACH,2025-07-06 12:26:19,VE,NL,0,0,0,0,0
112,892,3196.59,Check,2025-09-18 11:03:50,LB,NL,0,0,0,0,0
113,374,3603.4,ACH,2025-07-29 19:40:33,SD,NL,0,0,0,0,0
114,1190,2590.35,ACH,2025-09-16 03:47:50,UK,AU,0,0,0,0,0
115,1208,39.43,Check,2025-07-27 14:34:41,NL,CA,0,0,0,0,0
116,1095,3376.47,Wire,2025-07-31 13:50:53,LB,DE,0,0,0,1,0
117,84,2643.95,ACH,2025-08-10 06:30:13,IN,DE,0,0,0,0,0
118,635,955.05,Wire,2025-07-07 09:49:26,SD,AE,0,0,0,0,0
119,1427,426.5,ACH,2025-08-08 06:28:15,US,UK,0,0,0,0,0
120,1830,3922.1,Check,2025-08-08 11:21:58,AF,IN,0,0,0,0,0
121,775,167.83,Wire,2025-09-02 19:50:50,AU,SG,0,0,0,0,0
122,545,172.37,ACH,2025-08-28 06:56:05,JP,SG,0,0,0,0,0
123,772,1945.83,Check,2025-07-17 01:35:18,SY,SG,0,0,0,0,0
124,1376,225.98,Wire,2025-09-21 23:20:01,DE,NL,0,0,0,0,0
125,1833,2339.45,SWIFT,2025-07-27 01:34:06,CN,JP,0,0,0,0,0
126,1872,148.02,ACH,2025-08-15 06:30:46,NL,SG,0,0,0,0,0
127,773,494.53,Wire,2025-09-17 00:31:43,AF,JP,0,0,0,0,0
128,538,4272.95,Check,2025-09-17 07:27:15,SG,CA,0,0,0,0,0
129,1778,25501.13,ACH,2025-07-06 12:37:44,SG,DE,0,0,0,0,0
130,801,1015.79,ACH,2025-08-18 18:31:18,JP,US,0,0,0,0,0
131,1897,6838.76,SWIFT,2025-07-15 20:36:15,US,AU,0,0,0,0,0
132,1459,67.39,Wire,2025-08-19 02:30:50,FR,DE,0,0,0,0,0
133,1406,141.28,Check,2025-09-10 03:51:07,SG,CH,0,0,0,0,0
134,296,771.9,Wire,2025-08-22 12:18:05,US,CA,0,0,0,0,0
135,1637,2576.43,SWIFT,2025-07-18 09:01:17,SY,US,0,0,0,0,0
136,750,120.14,Check,2025-08-27 12:10:37,FR,CA,0,0,0,0,0
137,405,675.57,Wire,2025-09-20 22:41:31,SG,JP,0,0,0,0,0
138,1083,6371.7,SWIFT,2025-07-11 20:24:25,DE,JP,0,0,0,0,0
139,1604,765.71,Check,2025-09-22 20:15:36,KP,SG,0,0,0,0,0
140,960,1499.76,Check,2025-07-30 07:49:12,FR,IN,0,0,0,1,0
141,1201,1274.33,Wire,2025-09-13 00:56:31,DE,FR,0,0,0,0,0
142,1200,34080.39,Wire,2025-07-29 16:41:48,CA,US,0,0,0,0,0
143,1551,334.79,Wire,2025-07-24 01:08:24,CA,AE,0,0,0,0,0
144,98,2648.27,Wire,2025-09-28 16:38:30,SG,DE,0,0,0,0,0
145,1368,52930.88,Check,2025-08-11 09:16:42,VE,AE,0,0,0,0,0
146,1867,265.5,Wire,2025-07-13 08:23:37,SG,NL,0,0,0,0,0
147,1211,1694.83,SWIFT,2025-07-09 15:07:53,AU,US,0,0,0,0,0
148,1359,3368.72,Wire,2025-09-08 17:03:21,NL,FR,0,0,0,0,0
149,1648,1080.83,Check,2025-08-31 07:50:24,UK,AU,0,0,0,0,0
150,1984,2796.11,Check,2025-08-23 17:30:00,CN,FR,0,0,0,0,0
151,1660,577.74,ACH,2025-08-25 15:53:27,RU,SD,1,0,0,0,0
152,427,7572.87,SWIFT,2025-07-11 06:00:20,CA,US,0,0,0,0,0
153,149,3075.7,SWIFT,2025-08-13 10:11:29,SD,SG,0,0,0,0,0
154,1820,6714.72,SWIFT,2025-08-02 16:24:04,SG,CH,0,0,0,1,0
155,1922,3237.86,SWIFT,2025-08-23 07:54:18,AE,AU,0,0,0,0,0
156,52,747.22,Wire,2025-09-12 20:28:17,FR,AU,0,0,0,0,0
157,390,9900.24,Check,2025-08-16 20:50:16,CA,DE,0,0,1,0,0
158,842,669.92,ACH,2025-08-06 10:12:16,VE,UK,0,0,0,0,0
159,644,1255.73,SWIFT,2025-09-10 13:08:58,CA,UK,0,0,0,0,0
160,1757,954.27,Check,2025-07-31 20:47:45,SY,AU,0,0,0,0,0
161,1955,20.89,Check,2025-09-12 00:40:51,LB,AU,0,0,0,0,0
162,406,1253.44,Check,2025-09-19 15:36:36,SG,DE,0,0,0,0,0
163,1733,971.04,Wire,2025-07-21 01:51:10,AU,AU,0,0,0,0,0
164,338,283.62,ACH,2025-09-22 05:24:36,IN,JP,0,0,0,0,0
165,525,3102.58,Wire,2025-08-06 23:01:58,AU,NL,0,0,0,0,0
166,724,1405.05,SWIFT,2025-08-27 05:29:08,FR,IN,0,0,0,0,0
167,1732,2754.25,SWIFT,2025-09-22 04:54:39,IN,SG,0,0,0,0,0
168,92,206.92,ACH,2025-09-15 11:24:24,JP,UK,0,0,0,0,0
169,971,2175.09,SWIFT,2025-07-07 12:33:09,IN,FR,0,0,0,0,0
170,1456,3051.43,Check,2025-07-09 19:27:57,CH,SG,0,0,0,1,0
171,1927,747.45,Check,2025-09-11 13:57:05,FR,NL,0,0,0,0,0
172,830,1462.9,Check,2025-08-20 00:52:39,DE,IR,1,1,0,0,0
173,1200,2224.62,Wire,2025-08-21 03:23:40,CA,FR,0,0,0,0,0
174,716,58756.68,Wire,2025-08-12 20:50:54,IR,JP,0,0,0,0,0
175,555,2532.73,Check,2025-09-29 10:16:50,SG,US,0,0,0,0,0
176,1875,782.58,Wire,2025-07-13 07:45:47,IR,IN,0,0,0,0,0
177,1736,458.78,Wire,2025-09-20 14:26:45,KP,CN,0,0,0,0,0
178,1276,15550.76,Check,2025-08-28 06:00:40,SG,DE,0,0,0,0,0
179,1777,3533.22,Wire,2025-09-01 05:29:25,JP,UK,0,0,0,0,0
180,781,2501.7,Check,2025-07-18 02:45:58,RU,CN,0,0,0,0,0
181,1290,1985.4,ACH,2025-09-17 06:26:04,AU,CN,0,0,0,0,0
182,672,66.88,ACH,2025-07-20 16:26:01,FR,AE,0,0,0,0,0
183,624,1809.12,Wire,2025-08-06 08:20:38,CH,CA,0,0,0,0,0
184,1043,9635.72,Wire,2025-07-08 11:57:11,SD,NL,0,0,1,1,0
185,1074,4128.37,Wire,2025-07-03 18:22:59,SG,FR,0,0,0,0,0
186,544,877.86,SWIFT,2025-07-07 23:28:06,AE,US,0,0,0,0,0
187,1812,1518.42,ACH,2025-09-20 05:23:04,CH,CA,0,0,0,0,0
188,641,3287.46,ACH,2025-08-14 12:40:57,AU,SG,0,0,0,0,0
189,400,3547.2,ACH,2025-09-20 18:14:28,CH,UK,0,0,0,0,0
190,675,173.17,Check,2025-08-17 09:38:21,AE,IN,0,0,0,0,0
191,1041,48.21,SWIFT,2025-08-02 12:02:49,NL,DE,0,0,0,0,0
192,357,794.22,SWIFT,2025-07-23 03:38:37,SY,CA,0,0,0,0,0
193,358,1079.45,Wire,2025-09-10 18:30:42,VE,NL,0,0,0,0,0
194,1268,1126.29,Check,2025-07-08 22:57:43,CA,DE,0,0,0,0,0
195,223,19894.88,ACH,2025-09-26 19:39:04,SY,NL,0,0,0,0,0
196,554,6925.96,ACH,2025-09-26 18:30:43,CN,DE,0,0,0,0,0
197,1944,2098.98,ACH,2025-08-27 05:18:43,UK,JP,0,0,0,0,0
198,1993,1242.2,Check,2025-07-12 00:33:58,VE,CH,0,0,0,0,0
199,638,2223.36,SWIFT,2025-09-03 11:04:12,LB,JP,0,0,0,0,0
200,1831,17.8,Check,2025-08-02 04:01:04,RU,AU,0,0,0,0,0
201,1956,837.89,Check,2025-08-23 06:59:13,UK,AE,0,0,0,0,0
202,93,3469.19,Check,2025-09-28 19:40:30,SY,FR,0,0,0,0,0
203,959,19653.24,Check,2025-09-08 18:34:52,IN,CH,0,0,0,0,0
204,1725,544.18,ACH,2025-07-21 07:18:40,SD,CH,0,0,0,1,0
205,844,2221.14,ACH,2025-08-05 02:18:09,CH,CN,0,0,0,0,0
206,1584,3635.34,Wire,2025-07-29 23:01:07,FR,AU,0,0,0,0,0
207,1389,3098.28,ACH,2025-07-30 11:52:07,UK,US,0,0,0,0,0
208,975,2145.77,Wire,2025-09-29 12:52:01,FR,NL,0,0,0,0,0
209,1053,3084.4,Wire,2025-07-05 12:08:10,IR,IN,0,0,0,0,0
210,1318,1957.07,ACH,2025-08-11 18:15:39,DE,SG,0,0,0,0,0
211,1166,555.45,Check,2025-08-01 20:12:24,SY,CN,0,0,0,1,0
212,156,134.79,Wire,2025-08-07 03:34:31,US,JP,0,0,0,0,0
213,49,994.66,ACH,2025-08-12 12:40:59,AF,CN,0,0,0,0,0
214,7,1068.03,SWIFT,2025-08-08 19:32:44,US,DE,0,0,0,0,0
215,66,1520.81,Check,2025-08-29 18:13:33,CH,SY,1,0,0,0,0
216,441,774.39,Check,2025-07-16 18:34:04,FR,US,0,0,0,0,0
217,536,42.75,Wire,2025-09-27 05:51:50,US,JP,0,0,0,0,0
218,1331,728.87,Wire,2025-08-25 17:30:29,CA,SG,0,0,0,0,0
219,835,1122.4,Wire,2025-09-26 05:24:08,FR,JP,0,0,0,0,0
220,1873,2310.47,SWIFT,2025-08-10 11:53:43,SY,SG,0,0,0,0,0
221,60,877.76,ACH,2025-09-16 11:08:55,VE,CH,0,0,0,0,0
222,203,2535.29,Check,2025-09-27 21:57:00,IR,AU,0,0,0,0,0
223,1291,1680.74,Check,2025-08-17 20:09:00,CH,IN,0,0,0,0,0
224,13,4499.66,SWIFT,2025-09-28 13:38:34,NL,UK,0,0,0,0,0
225,565,168.04,Check,2025-08-12 18:43:10,AU,UK,0,0,0,0,0
226,1315,1187.59,ACH,2025-09-21 16:43:47,AE,AU,0,0,0,0,0
227,201,4056.66,Wire,2025-08-16 12:37:24,AF,AE,0,0,0,0,0
228,271,122.43,Check,2025-08-07 02:17:03,AF,FR,0,0,0,0,0
229,861,2374.82,SWIFT,2025-09-26 17:08:56,NL,US,0,0,0,0,0
230,943,2450.29,Wire,2025-09-14 03:48:02,NL,IN,0,0,0,0,0
231,460,620.79,Wire,2025-07-19 08:12:20,VE,UK,0,0,0,0,0
232,1442,800.74,Check,2025-09-19 06:16:42,SY,CA,0,0,0,0,0
233,95,5391.07,Check,2025-09-18 08:04:00,SD,JP,0,0,0,0,0
234,1537,1122.39,Wire,2025-08-04 23:29:23,SD,CH,0,0,0,1,0
235,929,1749.8,Check,2025-09-27 18:09:10,NL,DE,0,0,0,0,0
236,1688,447.18,SWIFT,2025-09-30 01:30:40,KP,US,0,0,0,0,0
237,1489,617.92,ACH,2025-08-03 23:49:37,LB,US,0,0,0,0,0
238,577,324.29,Wire,2025-08-27 03:21:41,NL,AE,0,0,0,0,0
239,246,1232.23,SWIFT,2025-08-15 01:11:05,AU,CA,0,0,0,0,0
240,656,2532.26,Check,2025-08-06 20:34:36,AU,JP,0,0,0,0,0
241,568,6829.56,Check,2025-07-28 01:47:40,SD,AE,0,0,0,0,0
242,1848,2182.75,Check,2025-09-12 19:19:08,AU,AU,0,0,0,0,0
243,1689,5559.9,ACH,2025-08-08 16:35:03,RU,UK,0,0,0,0,0
244,973,8073.91,Wire,2025-08-17 04:26:25,JP,NL,0,0,0,0,0
245,1081,2147.28,SWIFT,2025-09-28 01:47:08,KP,US,0,0,0,0,0
246,389,312.84,SWIFT,2025-08-21 03:48:21,LB,IN,0,0,0,0,0
247,803,6230.21,SWIFT,2025-07-16 12:40:08,LB,UK,0,0,0,0,0
248,10,361.85,ACH,2025-09-02 10:52:20,SY,FR,0,0,0,0,0
249,1584,408.45,Wire,2025-07-28 15:21:48,FR,SG,0,0,0,0,0
250,416,1056.75,ACH,2025-08-08 14:34:47,CH,JP,0,0,0,0,0
251,1929,580.28,ACH,2025-07-28 01:04:25,JP,CN,0,0,0,0,0
252,134,1241.15,Check,2025-08-28 21:51:43,SY,FR,0,0,0,0,0
253,1822,1096.03,Check,2025-08-07 09:02:20,RU,CA,0,0,0,0,0
254,1394,1865.99,Wire,2025-08-02 13:04:54,SY,JP,0,0,0,0,0
255,327,2415.4,Wire,2025-08-03 01:46:40,AE,CH,0,0,0,0,0
256,189,21265.48,Wire,2025-09-19 12:49:09,UK,DE,0,0,0,0,0
257,1557,20599.36,SWIFT,2025-09-26 20:33:28,IN,SG,0,0,0,0,0
258,903,1171.31,Check,2025-07-03 05:32:49,SG,AU,0,0,0,0,0
259,424,1167.54,ACH,2025-07-04 22:45:17,SY,CN,0,0,0,0,0
260,1128,4931.34,SWIFT,2025-08-26 21:30:52,DE,JP,0,0,0,0,0
261,1853,190.32,Wire,2025-07-19 12:12:33,VE,AE,0,0,0,0,0
262,875,2268.01,SWIFT,2025-08-04 14:48:41,FR,CH,0,0,0,0,0
263,1852,162.46,Wire,2025-09-23 18:30:18,JP,IN,0,0,0,0,0
264,786,907.33,SWIFT,2025-07-25 04:49:37,SY,DE,0,0,0,0,0
265,104,1147.38,Wire,2025-07-19 12:17:38,AU,DE,0,0,0,0,0
266,1229,4613.27,Wire,2025-07-10 19:02:27,JP,CA,0,0,0,0,0
267,218,1818.93,SWIFT,2025-07-30 01:57:23,IN,JP,0,0,0,0,0
268,159,2116.0,SWIFT,2025-07-15 00:05:43,SG,DE,0,0,0,0,0
269,1242,1799.49,Wire,2025-09-09 05:56:39,UK,AU,0,0,0,0,0
270,1666,5952.17,ACH,2025-07-05 06:30:46,IN,US,0,0,0,0,0
271,1406,3106.76,ACH,2025-08-31 08:32:23,SG,CA,0,0,0,1,0
272,572,1714.51,Wire,2025-08-08 09:11:16,RU,CN,0,0,0,0,0
273,49,1340.62,SWIFT,2025-08-15 04:23:56,AF,UK,0,0,0,0,0
274,230,563.01,Wire,2025-07-19 15:15:37,DE,FR,0,0,0,0,0
275,1236,3438.97,ACH,2025-09-16 15:04:33,AU,NL,0,0,0,0,0
276,1538,3357.03,SWIFT,2025-07-31 05:15:55,AF,RU,1,0,0,0,0
277,1191,1148.14,Check,2025-08-26 16:11:09,DE,AU,0,0,0,0,0
278,239,911.08,Wire,2025-07-24 08:30:11,RU,CH,0,0,0,0,0
279,756,535.29,ACH,2025-08-23 09:36:38,AE,US,0,0,0,0,0
280,67,1324.36,Wire,2025-09-17 21:51:53,NL,KP,1,1,0,0,0
281,884,354.19,ACH,2025-07-09 00:51:26,JP,CN,0,0,0,0,0
282,892,1.84,Check,2025-08-14 06:16:23,LB,AU,0,0,0,0,0
283,817,2380.04,ACH,2025-09-22 22:24:54,VE,DE,0,0,0,0,0
284,356,41783.59,ACH,2025-07-25 01:50:09,KP,US,0,0,0,0,0
285,1870,2351.4,Wire,2025-08-10 23:45:45,KP,AE,0,0,0,0,0
286,524,51.43,Wire,2025-08-17 02:22:06,AF,UK,0,0,0,0,0
287,904,957.41,Check,2025-07-07 15:09:56,CN,SG,0,0,0,0,0
288,1770,618.94,SWIFT,2025-07-31 15:12:32,LB,DE,0,0,0,0,0
289,439,48.97,Check,2025-08-12 01:48:07,CH,DE,0,0,0,0,0
290,1695,1906.82,SWIFT,2025-08-02 11:02:41,UK,AE,0,0,0,0,0
291,445,4738.22,Wire,2025-08-01 14:33:23,UK,CH,0,0,0,0,0
292,210,5932.03,Check,2025-09-18 19:12:41,AF,IN,0,0,0,0,0
293,1577,1994.03,Wire,2025-07-11 01:35:18,IN,AU,0,0,0,0,0
294,464,2844.37,Check,2025-09-22 00:23:18,RU,IN,0,0,0,0,0
295,1905,1122.39,Wire,2025-08-05 09:24:33,NL,IN,0,0,0,0,0
296,38,762.21,SWIFT,2025-09-30 18:48:37,VE,AE,0,0,0,0,0
297,1103,21112.92,Check,2025-07-28 07:53:52,JP,DE,0,0,0,0,0
298,344,4786.56,SWIFT,2025-08-19 15:31:39,KP,JP,0,0,0,0,0
299,1364,1660.23,Check,2025-08-08 14:10:42,DE,NL,0,0,0,0,0
300,273,5074.73,Check,2025-08-01 07:19:07,NL,AU,0,0,0,0,0
301,1063,2456.78,SWIFT,2025-08-15 17:09:23,AE,AE,0,0,0,0,0
302,1116,186.63,ACH,2025-07-20 12:36:14,CA,IN,0,0,0,0,0
303,1795,3587.93,SWIFT,2025-08-19 03:18:31,SY,CH,0,0,0,0,0
304,867,1488.83,Wire,2025-09-25 10:34:57,UK,DE,0,0,0,0,0
305,166,546.2,Check,2025-07-03 16:00:45,VE,DE,0,0,0,0,0
306,1905,1154.23,Check,2025-08-15 03:07:33,NL,SG,0,0,0,0,0
307,1092,480.81,Check,2025-08-07 20:59:00,RU,AU,0,0,0,0,0
308,1442,1957.15,Check,2025-07-29 17:20:22,SY,UK,0,0,0,0,0
309,556,7405.9,Check,2025-09-30 08:49:54,IR,SG,0,0,0,0,0
310,795,1491.98,SWIFT,2025-08-05 13:22:01,VE,FR,0,0,0,0,0
311,857,300.19,Check,2025-08-09 10:20:10,CA,CN,0,0,0,0,0
312,37,1752.26,Wire,2025-08-26 14:09:15,SD,UK,0,0,0,0,0
313,1716,3439.72,SWIFT,2025-07-20 00:26:42,VE,US,0,0,0,0,0
314,1302,2116.86,SWIFT,2025-09-08 12:13:04,RU,DE,0,0,0,0,0
315,1870,622.03,Check,2025-07-16 14:03:57,KP,JP,0,0,0,0,0
316,1516,719.33,ACH,2025-08-20 20:55:20,SD,JP,0,0,0,0,0
317,1285,3544.76,SWIFT,2025-09-21 00:58:16,AE,CH,0,0,0,0,0
318,1779,7001.14,Wire,2025-08-16 08:47:13,LB,SD,1,0,0,1,0
319,358,2050.74,Check,2025-08-06 13:54:41,VE,NL,0,0,0,0,0
320,1617,5633.6,SWIFT,2025-09-17 11:56:01,KP,CN,0,0,0,0,0
321,856,490.5,Wire,2025-07-24 02:12:34,IN,IN,0,0,0,0,0
322,1585,1256.55,Wire,2025-08-16 18:51:05,CA,JP,0,0,0,0,0
323,1309,490.28,Wire,2025-08-27 21:19:14,AF,FR,0,0,0,0,0
324,374,3775.79,SWIFT,2025-07-20 23:39:31,SD,CH,0,0,0,0,0
325,1842,4476.55,SWIFT,2025-09-29 00:50:01,NL,NL,0,0,0,0,0
326,1143,577.51,SWIFT,2025-07-04 10:33:36,AE,AE,0,0,0,0,0
327,1950,1277.01,Wire,2025-09-20 10:52:56,LB,AU,0,0,0,0,0
